codiceVia;nomeVia;isSensoUnico;nome_strada
5102;VIA ALTO ADIGE;0;SS gestita da altri enti
60;VICOLO DELL'ADIGE;0;
2810;VICOLO SAN MARCO;0;
8049;STRADA PER LE TRE CIME;0;SP 85 dir Sopramonte
3503;VIA MESIANO;0;
8492;VIA ALLE OSELERE;0;
7285;VIA G. ROBERTI;0;
8912;VIA DELLE ISCHIE;0;
8790;VIA DON M. MAZZONELLI;0;
1400;VIA DON GIUSEPPE GRAZIOLI;1;
7155;VIA PIANIZZA;0;SS 349 della Val d'Assa e Pedemontana
1400;VIA DON GIUSEPPE GRAZIOLI;1;
3905;VIA EDDA ALBERTINI;1;
3501;VIA CENTOCHIAVI;0;
1050;VIA L. EINAUDI;0;
4029;MONTEVIDEO;0;
8915;VIA DELLE PREDE;0;
8960;VIA ALLE SETTE FONTANE;0;
5540;VIA DEI MASADORI;0;
3823;VIA DI COSTA SAN NICOLO';0;
2340;PIAZZALE G. PERRUCCHETTI;0;
880;PIAZZA DANTE;1;
6020;VIA BELLAVISTA;0;
7855;LOCALITA' I GREZZI;0;
0;;1;
6003;VIA BASSANO;0;
7335;VIA BORINO;0;
2540;VIA RAGAZZI DEL '99;0;
7780;VIA DELLA STAZIONE;0;
7010;VIA ASIAGO;0;
3822;VIA DEL MASO SMALZ;0;
6488;VIA DI LANCIATESA;0;
400;VIA DEL BRENNERO;1;
2680;VIALE ROVERETO;1;
8514;VIA DELLE CANOPE;0;
1050;VIA L. EINAUDI;0;
1260;PIAZZA G.B. GARZETTI;0;
8760;VIA FILARI LONGHI;0;
8760;VIA FILARI LONGHI;0;
7110;VIA MARZOLA;0;
3450;VIALE VERONA;0;
0;;1;
8840;VIA SANTA MARINA;0;
1840;VIA G. MAZZINI;1;
680;VIA CAMILLO BENSO CAVOUR;1;
2250;VIA DEI PARADISI;0;
920;VIA AL DESERT;0;
6020;VIA BELLAVISTA;0;
8960;VIA ALLE SETTE FONTANE;0;
8760;VIA FILARI LONGHI;0;
1470;VIA DELLE LASTE;0;
8516;STRADA AL CIROCOL;0;
8770;VIA MARGONE;0;
5010;VIA AEROPORTO;0;
5080;VIA L. CANEPPELE;0;
5070;VIA BOLZANO;0;
6429;VIA P. ALBERTO GIANORDOLI;0;
6408;VIA NILO PICCOLI;1;
5010;VIA AEROPORTO;0;
5010;VIA AEROPORTO;0;
2690;VIA DELLA SALUGA;0;
6260;VIA MISSIONI AFRICANE;0;
8414;VIA DEL PORFIDO;0;SP 76 Gardolo-Lases
8970;VIA DEI RIMONI;0;
8770;VIA MARGONE;0;
4064;MAGNETE;0;
4062;BIG CENTER;0;
5270;VIA DON S. PEDROLLI;0;
5700;VIA BUDAPEST;0;
7440;VIA REDONDOLO;0;
2020;VIA DEI MUREDEI;0;
7440;VIA REDONDOLO;0;
7440;VIA REDONDOLO;0;
7262;VIA DEL BOMPORT;1;
2770;VIA SAN GIOVANNI;1;
3504;VIA MURALTA;0;
2080;VIALE DEGLI OLMI;0;
6457;VIA CORTA;0;
6360;VIA SAN VITO;0;
7485;VIA DELLA RESISTENZA;0;
1910;VIA U. MOGGIOLI;1;
2370;VIA PIAVE;0;
1480;VIA LAVISOTTO;0;
7080;VIA GALASSA;0;
2370;VIA PIAVE;0;
1960;VIA MONTELLO;1;
7405;VIA MADONNA DELLA CORONA;0;
5785;VIA ISARCO;0;
6428;VIA PER VILLAMONTAGNA;0;
1970;VIA C. MORONE;1;
2820;VIA SAN MARTINO;0;
8551;VIA DEL NOGARE';0;
5080;VIA L. CANEPPELE;0;
7345;VIA SABBIONI;0;
3824;VIA DI SAN VINCENZO;0;
1100;VIA DEI FERROVIERI;0;
890;VIA E. DE AMICIS;0;
3510;VIA VITTORIO VENETO;1;
340;VIALE N. BOLOGNINI;1;
3824;VIA DI SAN VINCENZO;0;
6428;VIA PER VILLAMONTAGNA;0;
6428;VIA PER VILLAMONTAGNA;0;
3000;VIA SANTA TRINITA';1;
8626;VIA DEL RONCO D'ANDREA;0;
6409;VIA ANTONIA PRUNER;0;
8920;VIA AI CASTAGNARI;0;
3501;VIA CENTOCHIAVI;0;
2820;VIA SAN MARTINO;1;
1080;VIA C. ESTERLE;1;
2650;VIA G.D. ROMAGNOSI;1;
2650;VIA G.D. ROMAGNOSI;1;
7020;VIA BANALA;0;
1870;VIA C. MENGUZZATO;0;
1620;VIA A. MAFFEI;1;
