Num_Civico;strada;cap;sobborgo
18;240;38122;Trento
19;240;38122;Trento
20;240;38122;Trento
21;240;38122;Trento
23;240;38122;Trento
23/A;240;38122;Trento
24;240;38122;Trento
25;240;38122;Trento
26;240;38122;Trento
27;240;38122;Trento
28;240;38122;Trento
28;240;38122;Trento
28;240;38122;Trento
28;240;38122;Trento
28;240;38122;Trento
28;240;38122;Trento
29;240;38122;Trento
30;240;38122;Trento
31;240;38122;Trento
32;240;38122;Trento
33;240;38122;Trento
33/1;240;38122;Trento
34;240;38122;Trento
35;240;38122;Trento
37;240;38122;Trento
39;240;38122;Trento
40;240;38122;Trento
41;240;38122;Trento
42;240;38122;Trento
42;240;38122;Trento
42;240;38122;Trento
43;240;38122;Trento
44;240;38122;Trento
45;240;38122;Trento
46;240;38122;Trento
46;240;38122;Trento
47;240;38122;Trento
48;240;38122;Trento
49;240;38122;Trento
50;240;38122;Trento
51;240;38122;Trento
52;240;38122;Trento
53;240;38122;Trento
54;240;38122;Trento
56;240;38122;Trento
58;240;38122;Trento
60;240;38122;Trento
62;240;38122;Trento
64;240;38122;Trento
66;240;38122;Trento
68;240;38122;Trento
70;240;38122;Trento
72;240;38122;Trento
74;240;38122;Trento
76;240;38122;Trento
78;240;38122;Trento
1;260;38122;Trento
2;260;38122;Trento
4;260;38122;Trento
5;260;38122;Trento
6;260;38122;Trento
7;260;38122;Trento
9;260;38122;Trento
11;260;38122;Trento
1;270;38122;Trento
2;270;38122;Trento
3;270;38122;Trento
4;270;38122;Trento
6;270;38122;Trento
7;270;38122;Trento
8;270;38122;Trento
9;270;38122;Trento
11;270;38122;Trento
11/A;270;38122;Trento
13;270;38122;Trento
15;270;38122;Trento
1;280;38122;Trento
1;280;38122;Trento
2;280;38122;Trento
3;280;38122;Trento
3;280;38122;Trento
4;280;38122;Trento
5;280;38122;Trento
5;280;38122;Trento
6;280;38122;Trento
6;280;38122;Trento
6;280;38122;Trento
8;280;38122;Trento
9;280;38122;Trento
9;280;38122;Trento
10;280;38122;Trento
10;280;38122;Trento
11;280;38122;Trento
11;280;38122;Trento
12;280;38122;Trento
14;280;38122;Trento
14;280;38122;Trento
14;280;38122;Trento
16;280;38122;Trento
18;280;38122;Trento
20;280;38122;Trento
22;280;38122;Trento
22;280;38122;Trento
10;281;38121;Trento
10;281;38121;Trento
10;281;38121;Trento
11;281;38121;Trento
11;281;38121;Trento
11;281;38121;Trento
11;281;38121;Trento
1;290;38123;Trento
3;290;38123;Trento
6;290;38123;Trento
7;290;38123;Trento
7;290;38123;Trento
7/A;290;38123;Trento
8;290;38123;Trento
9;290;38123;Trento
10;290;38123;Trento
11;290;38123;Trento
12;290;38123;Trento
13;290;38123;Trento
13;290;38123;Trento
13;290;38123;Trento
13;290;38123;Trento
14;290;38123;Trento
16;290;38123;Trento
18;290;38123;Trento
20;290;38123;Trento
22;290;38123;Trento
24;290;38123;Trento
1;300;38122;Trento
1;300;38122;Trento
1/A;300;38122;Trento
2;300;38122;Trento
3;300;38122;Trento
4;300;38122;Trento
5;300;38122;Trento
6;300;38122;Trento
6;300;38122;Trento
7;300;38122;Trento
8;300;38122;Trento
8;300;38122;Trento
8;300;38122;Trento
9;300;38122;Trento
10;300;38122;Trento
10;300;38122;Trento
11;300;38122;Trento
11;300;38122;Trento
12;300;38122;Trento
13;300;38122;Trento
15;300;38122;Trento
22;300;38122;Trento
24;300;38122;Trento
1;310;38122;Trento
2;310;38122;Trento
2/A;310;38122;Trento
3;310;38122;Trento
4;310;38122;Trento
5;310;38122;Trento
6;310;38122;Trento
7;310;38122;Trento
8;310;38122;Trento
10;310;38122;Trento
2;320;38122;Trento
3;320;38122;Trento
5;320;38122;Trento
7;320;38122;Trento
9;320;38122;Trento
11;320;38122;Trento
2;330;38122;Trento
2;330;38122;Trento
2;330;38122;Trento
2;330;38122;Trento
3;330;38122;Trento
3;330;38122;Trento
4;330;38122;Trento
4;330;38122;Trento
5;330;38122;Trento
6;330;38122;Trento
6;330;38122;Trento
7;330;38122;Trento
8;330;38122;Trento
8;330;38122;Trento
9;330;38122;Trento
10;330;38122;Trento
11;330;38122;Trento
12;330;38122;Trento
12;330;38122;Trento
12;330;38122;Trento
13;330;38122;Trento
13;330;38122;Trento
14;330;38122;Trento
14;330;38122;Trento
15;330;38122;Trento
15;330;38122;Trento
16;330;38122;Trento
17;330;38122;Trento
17;330;38122;Trento
18;330;38122;Trento
19;330;38122;Trento
20;330;38122;Trento
20;330;38122;Trento
21;330;38122;Trento
21;330;38122;Trento
21;330;38122;Trento
22;330;38122;Trento
22;330;38122;Trento
23;330;38122;Trento
23;330;38122;Trento
23;330;38122;Trento
25;330;38122;Trento
25;330;38122;Trento
27;330;38122;Trento
29;330;38122;Trento
30;330;38122;Trento
30;330;38122;Trento
31;330;38122;Trento
32;330;38122;Trento
32;330;38122;Trento
33;330;38122;Trento
34;330;38122;Trento
35;330;38122;Trento
36;330;38122;Trento
37;330;38122;Trento
37;330;38122;Trento
37;330;38122;Trento
37;330;38122;Trento
37;330;38122;Trento
38;330;38122;Trento
38/A;330;38122;Trento
39;330;38122;Trento
39;330;38122;Trento
43;330;38122;Trento
43;330;38122;Trento
44;330;38122;Trento
44;330;38122;Trento
45;330;38122;Trento
45;330;38122;Trento
46;330;38122;Trento
46;330;38122;Trento
47;330;38122;Trento
47;330;38122;Trento
48;330;38122;Trento
48;330;38122;Trento
49;330;38122;Trento
51;330;38122;Trento
51;330;38122;Trento
51;330;38122;Trento
53;330;38122;Trento
53;330;38122;Trento
54;330;38122;Trento
54;330;38122;Trento
55;330;38122;Trento
55;330;38122;Trento
57;330;38122;Trento
57;330;38122;Trento
59;330;38122;Trento
61;330;38122;Trento
63;330;38122;Trento
65;330;38122;Trento
67;330;38122;Trento
2;340;38122;Trento
2;340;38122;Trento
4;340;38122;Trento
6;340;38122;Trento
6;340;38122;Trento
8;340;38122;Trento
10;340;38122;Trento
12;340;38122;Trento
12;340;38122;Trento
14;340;38122;Trento
14;340;38122;Trento
18;340;38122;Trento
18/A;340;38122;Trento
18/A;340;38122;Trento
18/B;340;38122;Trento
18/B;340;38122;Trento
20;340;38122;Trento
20;340;38122;Trento
22;340;38122;Trento
22;340;38122;Trento
24;340;38122;Trento
24;340;38122;Trento
26;340;38122;Trento
26;340;38122;Trento
28;340;38122;Trento
28;340;38122;Trento
30;340;38122;Trento
30;340;38122;Trento
32;340;38122;Trento
32;340;38122;Trento
34;340;38122;Trento
36;340;38122;Trento
38;340;38122;Trento
38;340;38122;Trento
40;340;38122;Trento
40;340;38122;Trento
40;340;38122;Trento
42;340;38122;Trento
42;340;38122;Trento
42;340;38122;Trento
42;340;38122;Trento
44;340;38122;Trento
44;340;38122;Trento
46;340;38122;Trento
46;340;38122;Trento
46;340;38122;Trento
48;340;38122;Trento
48;340;38122;Trento
48;340;38122;Trento
50;340;38122;Trento
50;340;38122;Trento
52;340;38122;Trento
52;340;38122;Trento
52;340;38122;Trento
54;340;38122;Trento
54;340;38122;Trento
58;340;38122;Trento
60;340;38122;Trento
60;340;38122;Trento
60;340;38122;Trento
62;340;38122;Trento
62;340;38122;Trento
62;340;38122;Trento
64;340;38122;Trento
64;340;38122;Trento
64;340;38122;Trento
66;340;38122;Trento
66/A;340;38122;Trento
66/B;340;38122;Trento
70;340;38122;Trento
70;340;38122;Trento
72;340;38122;Trento
72;340;38122;Trento
72;340;38122;Trento
74;340;38122;Trento
74;340;38122;Trento
76;340;38122;Trento
76;340;38122;Trento
76;340;38122;Trento
78;340;38122;Trento
78;340;38122;Trento
78;340;38122;Trento
78;340;38122;Trento
80;340;38122;Trento
80;340;38122;Trento
82;340;38122;Trento
82;340;38122;Trento
82;340;38122;Trento
84;340;38122;Trento
84;340;38122;Trento
84;340;38122;Trento
84;340;38122;Trento
88;340;38122;Trento
88;340;38122;Trento
90;340;38122;Trento
90;340;38122;Trento
94;340;38122;Trento
94;340;38122;Trento
94;340;38122;Trento
94;340;38122;Trento
96;340;38122;Trento
98;340;38122;Trento
98;340;38122;Trento
98;340;38122;Trento
98;340;38122;Trento
98;340;38122;Trento
1;350;38122;Trento
1;350;38122;Trento
2;350;38122;Trento
3;350;38122;Trento
3;350;38122;Trento
4;350;38122;Trento
4;350;38122;Trento
5;350;38122;Trento
5;350;38122;Trento
6;350;38122;Trento
6;350;38122;Trento
6;350;38122;Trento
7;350;38122;Trento
7;350;38122;Trento
8;350;38122;Trento
9;350;38122;Trento
9;350;38122;Trento
10;350;38122;Trento
11;350;38122;Trento
11;350;38122;Trento
12;350;38122;Trento
13;350;38122;Trento
14;350;38122;Trento
15;350;38122;Trento
15;350;38122;Trento
16;350;38122;Trento
17;350;38122;Trento
